	eta_Th	group	n_subj	prepost
0	-4.482297459427191	Th	1	pre
1	-4.345418793814523	Th	1	post
2	-4.621640623832235	Th	1	pre
3	-4.5947641061276805	Th	1	post
4	-4.570319156257474	Th	1	pre
5	-4.464601268573683	Th	1	post
6	-4.675083671297346	Th	1	pre
7	-4.16155531941628	Th	1	post
8	-4.4235206623466645	Th	1	pre
9	-4.447940845878756	Th	1	post
10	-4.242677240955587	Th	1	pre
11	-4.461175485533111	Th	1	post
12	-4.809860239223558	Th	1	pre
13	-4.369725801506821	Th	1	post
14	-4.7005458753936145	Th	1	pre
15	-4.738432747977121	Th	1	post
16	-4.605341697225765	Th	2	pre
17	-4.540456285282057	Th	2	post
18	-4.556619172193566	Th	2	pre
19	-4.656814458418865	Th	2	post
20	-4.627562892680265	Th	2	pre
21	-4.427182791184406	Th	2	post
22	-4.606690942024698	Th	2	pre
23	-4.420671239191172	Th	2	post
24	-4.750666900556915	Th	2	pre
25	-4.258037499019078	Th	2	post
26	-4.631804699800453	Th	2	pre
27	-4.517161096845355	Th	2	post
28	-4.580667116204086	Th	2	pre
29	-4.618622594950151	Th	2	post
30	-4.51332536522223	Th	2	pre
31	-4.521373885018485	Th	2	post
32	-4.611487354551043	Th	2	pre
33	-4.636790499395254	Th	2	post
34	-4.689552433636724	Th	2	pre
35	-4.605313447056984	Th	2	post
36	-4.622492692908462	Th	2	pre
37	-4.400259120123727	Th	2	post
38	-4.405333227040816	Th	2	pre
39	-4.403471499073262	Th	2	post
40	-4.747015544346401	Th	2	pre
41	-4.554063816459811	Th	2	post
42	-4.508140826711849	Th	2	pre
43	-4.486035473492681	Th	2	post
44	-4.5233994016841965	Th	2	pre
45	-4.39384491103036	Th	2	post
46	-4.63024394366206	Th	2	pre
47	-4.268763756265446	Th	2	post
48	-4.640431306800064	Th	2	pre
49	-4.681318628544711	Th	2	post
50	-4.512625168780891	Th	2	pre
51	-4.510200777832343	Th	2	post
52	-4.435768380457041	Th	2	pre
53	-4.556841062039745	Th	2	post
54	-4.646218124701052	Th	2	pre
55	-4.425929517162089	Th	2	post
56	-4.526021324858373	Th	3	pre
57	-4.544319736714266	Th	3	post
58	-4.618975741522653	Th	3	pre
59	-4.5357522867163835	Th	3	post
60	-4.658275847532311	Th	3	pre
61	-4.4245049174951046	Th	3	post
62	-4.5134172439575195	Th	3	pre
63	-4.675451492776676	Th	3	post
64	-4.6525987411031915	Th	3	pre
65	-4.443548776665512	Th	3	post
66	-4.519992409920206	Th	3	pre
67	-4.4046026589919105	Th	3	post
68	-4.623965983488122	Th	3	pre
69	-4.592909302030291	Th	3	post
70	-4.61318083198703	Th	3	pre
71	-4.477457752033156	Th	3	post
72	-4.618519145615247	Th	3	pre
73	-4.386729512895856	Th	3	post
74	-4.702061857495989	Th	3	pre
75	-4.422504522362534	Th	3	post
76	-4.640987581136275	Th	3	pre
77	-4.525072963870302	Th	3	post
78	-4.476506904679901	Th	3	pre
79	-4.520097041616634	Th	3	post
80	-4.55068251551414	Th	3	pre
81	-4.414381523521579	Th	3	post
82	-4.5837971093703285	Th	3	pre
83	-4.427816079587353	Th	3	post
84	-4.693532909665789	Th	3	pre
85	-4.454918657030378	Th	3	post
86	-4.444579202301648	Th	3	pre
87	-4.369254978335634	Th	3	post
88	-4.6204899281871565	Th	3	pre
89	-4.5995961257389615	Th	3	post
90	-4.548866544451032	Th	3	pre
91	-4.503054531253114	Th	3	post
92	-4.652109311551464	Th	3	pre
93	-4.426355780387412	Th	3	post
94	-4.721576423061137	Th	3	pre
95	-4.269877993330663	Th	3	post
96	-4.593911151496732	Th	4	pre
97	-4.383488080939468	Th	4	post
98	-4.579933745520456	Th	4	pre
99	-4.441605626320352	Th	4	post
100	-4.6094204746947	Th	4	pre
101	-4.615048758837641	Th	4	post
102	-4.519702210718272	Th	4	pre
103	-4.386034727096558	Th	4	post
104	-4.584098076333805	Th	4	pre
105	-4.326932464327131	Th	4	post
106	-4.707294507902496	Th	4	pre
107	-4.578960589000157	Th	4	post
108	-4.632737982029818	Th	4	pre
109	-4.61167143315685	Th	4	post
110	-4.508869482546436	Th	4	pre
111	-4.483766998563494	Th	4	post
112	-4.6316297297575035	Th	4	pre
113	-4.377944858706727	Th	4	post
